param_id,maxhgt,res,slpdis,temdif,temdis,vormin,winddis
0,3000,0.125,25000,0.75,100000,1e-05,50000
1,3000,0.125,25000,0.75,100000,1e-05,100000
2,3000,0.125,25000,0.75,100000,1e-05,200000
3,3000,0.125,25000,0.75,100000,1e-06,50000
4,3000,0.125,25000,0.75,100000,1e-06,100000
5,3000,0.125,25000,0.75,100000,1e-06,200000
6,3000,0.125,25000,0.75,100000,0.0001,50000
7,3000,0.125,25000,0.75,100000,0.0001,100000
8,3000,0.125,25000,0.75,100000,0.0001,200000
9,3000,0.125,25000,0.75,200000,1e-05,50000
10,3000,0.125,25000,0.75,200000,1e-05,100000
11,3000,0.125,25000,0.75,200000,1e-05,200000
12,3000,0.125,25000,0.75,200000,1e-06,50000
13,3000,0.125,25000,0.75,200000,1e-06,100000
14,3000,0.125,25000,0.75,200000,1e-06,200000
15,3000,0.125,25000,0.75,200000,0.0001,50000
16,3000,0.125,25000,0.75,200000,0.0001,100000
17,3000,0.125,25000,0.75,200000,0.0001,200000
18,3000,0.125,25000,0.75,400000,1e-05,50000
19,3000,0.125,25000,0.75,400000,1e-05,100000
20,3000,0.125,25000,0.75,400000,1e-05,200000
21,3000,0.125,25000,0.75,400000,1e-06,50000
22,3000,0.125,25000,0.75,400000,1e-06,100000
23,3000,0.125,25000,0.75,400000,1e-06,200000
24,3000,0.125,25000,0.75,400000,0.0001,50000
25,3000,0.125,25000,0.75,400000,0.0001,100000
26,3000,0.125,25000,0.75,400000,0.0001,200000
27,3000,0.125,25000,0.5,100000,1e-05,50000
28,3000,0.125,25000,0.5,100000,1e-05,100000
29,3000,0.125,25000,0.5,100000,1e-05,200000
30,3000,0.125,25000,0.5,100000,1e-06,50000
31,3000,0.125,25000,0.5,100000,1e-06,100000
32,3000,0.125,25000,0.5,100000,1e-06,200000
33,3000,0.125,25000,0.5,100000,0.0001,50000
34,3000,0.125,25000,0.5,100000,0.0001,100000
35,3000,0.125,25000,0.5,100000,0.0001,200000
36,3000,0.125,25000,0.5,200000,1e-05,50000
37,3000,0.125,25000,0.5,200000,1e-05,100000
38,3000,0.125,25000,0.5,200000,1e-05,200000
39,3000,0.125,25000,0.5,200000,1e-06,50000
40,3000,0.125,25000,0.5,200000,1e-06,100000
41,3000,0.125,25000,0.5,200000,1e-06,200000
42,3000,0.125,25000,0.5,200000,0.0001,50000
43,3000,0.125,25000,0.5,200000,0.0001,100000
44,3000,0.125,25000,0.5,200000,0.0001,200000
45,3000,0.125,25000,0.5,400000,1e-05,50000
46,3000,0.125,25000,0.5,400000,1e-05,100000
47,3000,0.125,25000,0.5,400000,1e-05,200000
48,3000,0.125,25000,0.5,400000,1e-06,50000
49,3000,0.125,25000,0.5,400000,1e-06,100000
50,3000,0.125,25000,0.5,400000,1e-06,200000
51,3000,0.125,25000,0.5,400000,0.0001,50000
52,3000,0.125,25000,0.5,400000,0.0001,100000
53,3000,0.125,25000,0.5,400000,0.0001,200000
54,3000,0.125,25000,1.0,100000,1e-05,50000
55,3000,0.125,25000,1.0,100000,1e-05,100000
56,3000,0.125,25000,1.0,100000,1e-05,200000
57,3000,0.125,25000,1.0,100000,1e-06,50000
58,3000,0.125,25000,1.0,100000,1e-06,100000
59,3000,0.125,25000,1.0,100000,1e-06,200000
60,3000,0.125,25000,1.0,100000,0.0001,50000
61,3000,0.125,25000,1.0,100000,0.0001,100000
62,3000,0.125,25000,1.0,100000,0.0001,200000
63,3000,0.125,25000,1.0,200000,1e-05,50000
64,3000,0.125,25000,1.0,200000,1e-05,100000
65,3000,0.125,25000,1.0,200000,1e-05,200000
66,3000,0.125,25000,1.0,200000,1e-06,50000
67,3000,0.125,25000,1.0,200000,1e-06,100000
68,3000,0.125,25000,1.0,200000,1e-06,200000
69,3000,0.125,25000,1.0,200000,0.0001,50000
70,3000,0.125,25000,1.0,200000,0.0001,100000
71,3000,0.125,25000,1.0,200000,0.0001,200000
72,3000,0.125,25000,1.0,400000,1e-05,50000
73,3000,0.125,25000,1.0,400000,1e-05,100000
74,3000,0.125,25000,1.0,400000,1e-05,200000
75,3000,0.125,25000,1.0,400000,1e-06,50000
76,3000,0.125,25000,1.0,400000,1e-06,100000
77,3000,0.125,25000,1.0,400000,1e-06,200000
